service_id,partner_name,service,phone
30025000007311,SNAPWRE Technologies plc,API,934257234
30013400007173,TECHVIEW DIGITAL SERVICE PLC,API,911230814
132732000010305,EXCELLENT YOUTH PERSONALITY DEVELOPMENT ORG,API,963000004
150732000013987,Danat ICT System PLC,API,921308958
155552000014453,Black Future consultancy S.C,API,970695169
30013500007209,BK AUTOSPA ONE MEMBERSHIP PLC,API,911003268
151542000014042,Aman Wassie Abdie,API,972107810
30021200007244,DEWAY CALL CENTER AND VAS PLC,API,945457777
155552000014454,Black Future consultancy S.C,API,970695169
300068200007068,Yam trading and digital service PLC,API,918079955
155232000014397,Auto Safety PLC,API,934472222
155132000014399,Future IT Technologies PLC,API,975401115
107192000005395,Aplus Telecom Service,API,911239002
148112000013330,Bealu Vas,API,911982010
151542000014530,Aman Wassie,API,972107810
30021900007251,BYG PLC,API,920685786
156962000014710,S E VAS TRADING PLC,API,912102044
30022800007275,SER State office of the prisedant,API,916832316
156812000014722,ZUZI COMMUNICATION TECHNOLOGY PLC,API,923808380
300051200007051,POINT ICT TECHNOLOGY PLC,API,911570000
156882000014654,BEALU DEMISSIE GORFE,API,911982010
155272000014403,Trade Ethiopia Commissioning,API,904004400
300210200007242,Jegol Technology One Member PLC,API,994660809
30023500007285,Brote Tich Trading Plc,API,919298223
30026200007336,Kalem Trading,API,910990147
30026200007330,Kalem Trading,API,910990147
30026200007337,Kalem Trading PLC,API,910990147
30026200007338,Kalem Trading PLC,API,910990147
30026200007339,Kalem Trading PLC,API,910990147
30026200007340,Kalem Trading PLC,API,910990147
30026500007343,G D F TRADING ONE MEMBER PLC,API,911248351
0101122000004631,AMAN WASSIE ABDE,MT,972107810
30020000007234,Abebech Gobena,MT,964888887
0104642000005055,EKO PLUS IT TECHNOLOGY PLC,MT,933683247
0096002000004237,Ri Com Value Add and Telecommunication Materials service,MT,933683247
0104642000005053,ECO PLUS IT TECHNOLOGY PLC,MT,933683247
0144642000012746,AFRU FILM PROMOTION ENTERTAIMENT,MO,930004144
0100562000004469,HIKMA ELECTRONICS PLC,MT,933683247
0128172000008808,EKO PLUS IT TECHNOLOGY PLC,MT,933683247
30013400007188,ENAT BANK S.C.,MT,911121246
0104042000005429,COMTEL TRADING PLC,MT,933683247
0130092000009594,TOLAWAK DUGASSA WIRTU,MT,976961818
0128182000008810,SPEED TECH IT TECHNOLOGY PLC,MT,933683247
30024000007291,ADDIS MUSIC MULTI MEDIA PLC,MO,911255195
0121152000006408,HIKMA ELECTRONICS PLC,MO,933683247
0135202000011668,HIKMA ELECTRONICS PLC,MO,933683247
0129232000009403,AGE ENGINEERING PLC,MT,923279021
0134622000011287,CORE ENGINEERING TECHNOLOGY P.L.C.,MT,923569610
0146002000013076,S SQUARE MARKETING PLC,MT,985375717
0157592000014811,PRIME COM TECHNOLOGIES PLC,MO,910804901
2518222,FANA BROADCASTING CORPORATE S.C,MO,911760507
251801,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971
251800,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971
2518600,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971
2519596,Serdo .Com Online Market plc,Voice-Premium,910867889
2516781,NEXOVATE TRADING PLC,Voice-Premium,916730578
2516558,OSCAR PROMOTION PLC,Voice-Premium,914211407
